Graded Commit:41602d22a9d8c1eb8e06a2560ac69e8ce27ba299

TEST NAME, POINTS,OUT OF
sf_memsuite_grading/free_block_too_small,1,1,
sf_memsuite_grading/free_null,1,1,
sf_memsuite_grading/free_prev_alloc,0,1,1 assertion(s) failed.: tests/grading_tests.c:1090: SIGABRT should have been received
sf_memsuite_grading/free_unallocated,1,1,
sf_memsuite_grading/initialization,0,1,1 assertion(s) failed.: tests/grading_tests.c:122: Free block at 0x7fdf8f24b058 is not contained in the free list
sf_memsuite_grading/malloc_free_coalesce_both,0,1,1 assertion(s) failed.: tests/grading_tests.c:122: Free block at 0x7f77772055e8 is not contained in the free list
sf_memsuite_grading/malloc_free_coalesce_lower,0,1,1 assertion(s) failed.: tests/grading_tests.c:105: Prev allocated bit is not correctly set for 0x7f8d6ab47108. Should be: 1
sf_memsuite_grading/malloc_free_coalesce_upper,0,1,1 assertion(s) failed.: tests/grading_tests.c:122: Free block at 0x7f8ed37a55e8 is not contained in the free list
sf_memsuite_grading/malloc_free_first_block,0,1,1 assertion(s) failed.: tests/grading_tests.c:122: Free block at 0x7f034f032248 is not contained in the free list
sf_memsuite_grading/malloc_free_last_block,0,1,1 assertion(s) failed.: tests/grading_tests.c:122: Free block at 0x7fc2a8448108 is not contained in the free list
sf_memsuite_grading/malloc_free_lifo,0,1,1 assertion(s) failed.: tests/grading_tests.c:882: malloc/free does not follow LIFO discipline
sf_memsuite_grading/malloc_free_no_coalesce,0,1,1 assertion(s) failed.: tests/grading_tests.c:122: Free block at 0x7fe6f772e3e8 is not contained in the free list
sf_memsuite_grading/malloc_to_exhaustion,0,1,1 assertion(s) failed.: tests/grading_tests.c:765: Memory not exhausted when it should be
sf_memsuite_grading/malloc_with_splinter,1,1,
sf_memsuite_grading/realloc_larger,1,1,
sf_memsuite_grading/realloc_same,1,1,
sf_memsuite_grading/realloc_size_0,0,1,1 assertion(s) failed.: tests/grading_tests.c:186: Payload pointer should be NULL
sf_memsuite_grading/realloc_smaller,1,1,
sf_memsuite_grading/realloc_splinter,1,1,
sf_memsuite_grading/sf_memalign_test_1,0,1,The test crashed.: None
sf_memsuite_grading/sf_memalign_test_2,0,1,The test crashed.: None
sf_memsuite_grading/sf_memalign_test_3,0,1,1 assertion(s) failed.: tests/grading_tests.c:122: Free block at 0x7f6f32c6e038 is not contained in the free list
sf_memsuite_grading/single_malloc_1,0,1,1 assertion(s) failed.: tests/grading_tests.c:122: Free block at 0x7f6cad52e058 is not contained in the free list
sf_memsuite_grading/single_malloc_16,0,1,1 assertion(s) failed.: tests/grading_tests.c:122: Free block at 0x7f61f92cf058 is not contained in the free list
sf_memsuite_grading/single_malloc_32,0,1,1 assertion(s) failed.: tests/grading_tests.c:122: Free block at 0x7fd6e22a2068 is not contained in the free list
sf_memsuite_grading/single_malloc_exactly_one_page_needed,1,1,
sf_memsuite_grading/single_malloc_max,1,1,
sf_memsuite_grading/single_malloc_more_than_one_page_needed,0,1,1 assertion(s) failed.: tests/grading_tests.c:122: Free block at 0x7f469ba1f038 is not contained in the free list
sf_memsuite_grading/single_malloc_three_pages_needed,0,1,1 assertion(s) failed.: tests/grading_tests.c:122: Free block at 0x7f96a750ce08 is not contained in the free list
sf_memsuite_grading/stress_test,0,1,1 assertion(s) failed.: tests/grading_tests.c:122: Free block at 0x7fa108e31038 is not contained in the free list
sfmm_basecode_suite/free_coalesce,1,1,
sfmm_basecode_suite/free_no_coalesce,1,1,
sfmm_basecode_suite/freelist,1,1,
sfmm_basecode_suite/malloc_an_int,1,1,
sfmm_basecode_suite/malloc_four_pages,1,1,
sfmm_basecode_suite/malloc_too_large,1,1,
sfmm_basecode_suite/realloc_larger_block,1,1,
sfmm_basecode_suite/realloc_smaller_block_free_block,1,1,
sfmm_basecode_suite/realloc_smaller_block_splinter,1,1,
total,19,39extra_test1,0.6,0.6
extra_test2,0.6,0.6
extra_test3,0.6,0.6
extra_test4,0.6,0.6
extra_test5,0.6,0.6
