Graded Commit:3d352b388776e1047cf6e1fe4a5d6eaeb7984c86

TEST NAME, POINTS,OUT OF
client_registry_suite/all_clients_empty,1,1,
client_registry_suite/all_clients_nonempty,1,1,
client_registry_suite/basic_one_registry,0,1,The test crashed.: None
client_registry_suite/basic_one_registry_premature,0,1,The test crashed.: None
client_registry_suite/basic_two_registries,0,1,The test crashed.: None
client_registry_suite/init,1,1,
client_registry_suite/init_fini,1,1,
client_registry_suite/init_reg_fini,1,1,
client_registry_suite/init_reg_unreg_fini,1,1,
client_registry_suite/many_threads_one_registry,0,1,The test crashed.: None
client_registry_suite/many_threads_one_registry_premature,0,1,The test crashed.: None
client_suite/concurrent_ref,0,1,The test crashed.: None
client_suite/create,1,1,
client_suite/create_get_mailbox,0,1,The test crashed.: None
client_suite/create_get_user,1,1,
client_suite/create_login,1,1,
client_suite/create_login_get_mailbox,1,1,
client_suite/create_login_get_user,1,1,
client_suite/create_login_logout,1,1,
client_suite/create_login_logout_get_mailbox,0,1,The test crashed.: None
client_suite/create_login_logout_get_user,1,1,
client_suite/create_send_ack,1,1,
client_suite/create_send_nack,1,1,
client_suite/create_send_packet,0,1,1 assertion(s) failed.: tests/client_test.c:257: Packet sent did not match expected
client_suite/create_unref,0,1,The test crashed.: None
client_suite/register_login_many,0,1,1 assertion(s) failed.: tests/client_test.c:139: Returned value (-1) was not 0
client_suite/register_login_twice_diff,1,1,
client_suite/register_login_twice_same,1,1,
mailbox_suite/concurrent_add_consume,1,1,
mailbox_suite/concurrent_ref,0,1,The test timed out.: None
mailbox_suite/init,1,1,
mailbox_suite/init_add_msg_next,1,1,
mailbox_suite/init_add_msg_unref,0,1,The test timed out.: None
mailbox_suite/init_add_notice_next,1,1,
mailbox_suite/init_shutdown_unref,1,1,
mailbox_suite/init_unref,0,1,The test timed out.: None
mailbox_suite/next_entry_empty,1,1,
mailbox_suite/next_entry_shutdown,1,1,
protocol_suite/recv_empty,1,1,
protocol_suite/recv_error,1,1,
protocol_suite/recv_no_payload,1,1,
protocol_suite/recv_short_header,0,1,1 assertion(s) failed.: tests/protocol_test.c:195: Returned value was 0
protocol_suite/recv_short_payload,0,1,1 assertion(s) failed.: tests/protocol_test.c:218: Returned value was 0
protocol_suite/recv_with_payload,1,1,
protocol_suite/send_error,1,1,
protocol_suite/send_no_payload,1,1,
protocol_suite/send_with_payload,1,1,
server_suite/login_again_same_user,1,1,
server_suite/login_logout,1,1,
server_suite/login_logout_login,1,1,
server_suite/login_many_users,0,1,"1 assertion(s) failed.: tests/server_test.c:469: USERS output was incorrect: 
        u0u1u4u7u2u13u14u12u11u3u6u5u10u8u9"
server_suite/login_send_many_users,0,1,1 assertion(s) failed.: tests/server_test.c:74: Packet type (BOUNCE) was not the expected type (ACK)
server_suite/login_two_conns_diff,1,1,
server_suite/login_two_conns_diff_users,0,1,1 assertion(s) failed.: tests/server_test.c:356: Payload length (8) was not the expected value (12)
server_suite/login_two_conns_diff_users_send1,0,1,1 assertion(s) failed.: tests/server_test.c:74: Packet type (BOUNCE) was not the expected type (ACK)
server_suite/login_two_conns_same,1,1,
server_suite/ping,1,1,
server_suite/valid_login,1,1,
user_registry_suite/concurrency,1,1,
user_registry_suite/init_fini,1,1,
user_registry_suite/init_reg_fini,1,1,
user_registry_suite/reg3_one_registry,1,1,
user_registry_suite/reg_one_registry,1,1,
user_registry_suite/reg_release_unreg_one_registry,1,1,
user_registry_suite/reg_two_registries,1,1,
user_registry_suite/release_rereg_one_registry,1,1,
user_registry_suite/rereg_one_registry,1,1,
user_registry_suite/unreg_empty_one_registry,1,1,
user_suite/concurrent_ref,1,1,
user_suite/create,1,1,
user_suite/create_many,1,1,
user_suite/create_modify_handle,0,1,1 assertion(s) failed.: tests/user_test.c:46: User name () does not match expected (Alice)
user_suite/create_multiple,1,1,
total,52,73
